fold,steps,mae_no_exit,validity_no_exit,num_valids_no_exit
0,10,tensor(58.6677),0.2578125,34
0,25,tensor(48.4691),0.5859375,76
0,40,tensor(50.8173),0.78125,101
0,55,tensor(35.7247),0.78125,106
0,70,tensor(42.6492),0.875,115
0,85,tensor(41.2828),0.9140625,110
0,100,tensor(42.1759),0.890625,114
1,10,tensor(52.8679),0.2265625,32
1,25,tensor(44.9104),0.71875,94
1,40,tensor(53.4348),0.8359375,105
1,55,tensor(52.5432),0.7734375,102
1,70,tensor(41.5737),0.8203125,101
1,85,tensor(41.5900),0.8828125,112
1,100,tensor(46.9888),0.8515625,112
2,10,tensor(44.4510),0.3359375,38
2,25,tensor(37.1840),0.59375,83
2,40,tensor(33.8809),0.7265625,98
2,55,tensor(48.4638),0.8046875,103
2,70,tensor(45.3982),0.765625,99
2,85,tensor(34.4117),0.8515625,110
2,100,tensor(37.8257),0.8671875,105
3,10,tensor(69.9966),0.3125,35
3,25,tensor(48.5160),0.6640625,86
3,40,tensor(42.4311),0.7890625,101
3,55,tensor(44.3067),0.8203125,107
3,70,tensor(40.3443),0.8828125,112
3,85,tensor(43.8725),0.84375,110
3,100,tensor(39.2800),0.890625,117
4,10,tensor(64.0843),0.296875,35
4,25,tensor(39.5784),0.640625,90
4,40,tensor(37.4489),0.6484375,91
4,55,tensor(43.0023),0.7890625,101
4,70,tensor(39.3935),0.8828125,111
4,85,tensor(42.4074),0.828125,109
4,100,tensor(45.6702),0.84375,108
5,10,tensor(59.0467),0.34375,41
5,25,tensor(46.2914),0.5859375,73
5,40,tensor(37.4790),0.8046875,102
5,55,tensor(36.7314),0.8359375,106
5,70,tensor(45.6227),0.828125,109
5,85,tensor(43.0100),0.8515625,109
5,100,tensor(41.5070),0.828125,99
6,10,tensor(52.2307),0.25,31
6,25,tensor(48.4649),0.6484375,94
6,40,tensor(46.4613),0.828125,104
6,55,tensor(42.5637),0.7734375,105
6,70,tensor(40.3355),0.8046875,104
6,85,tensor(39.4236),0.828125,107
6,100,tensor(47.6805),0.8515625,109
7,10,tensor(62.0733),0.2890625,36
7,25,tensor(52.9780),0.671875,89
7,40,tensor(48.1469),0.765625,100
7,55,tensor(56.3420),0.8125,106
7,70,tensor(40.5156),0.8046875,108
7,85,tensor(40.1812),0.8046875,105
7,100,tensor(42.8020),0.828125,104
8,10,tensor(59.2583),0.265625,34
8,25,tensor(45.6621),0.640625,86
8,40,tensor(45.3266),0.7265625,96
8,55,tensor(44.1378),0.8359375,107
8,70,tensor(40.1058),0.8203125,108
8,85,tensor(43.3166),0.8671875,114
8,100,tensor(42.5664),0.921875,116
9,10,tensor(58.7190),0.2890625,35
9,25,tensor(44.9538),0.6875,94
9,40,tensor(39.3040),0.8125,102
9,55,tensor(38.3254),0.796875,97
