fold,steps,mae_no_exit,validity_no_exit,num_valids_no_exit
0,10,tensor(26.0536),0.328125,44
0,25,tensor(14.2853),0.796875,103
0,40,tensor(16.7756),0.8828125,115
0,55,tensor(14.9651),0.859375,117
0,70,tensor(10.7684),0.875,113
0,85,tensor(11.4594),0.9375,120
0,100,tensor(14.8850),0.90625,118
1,10,tensor(18.0538),0.34375,49
1,25,tensor(16.7358),0.8046875,110
1,40,tensor(17.0438),0.828125,110
1,55,tensor(12.5998),0.8828125,115
1,70,tensor(24.9418),0.8671875,110
1,85,tensor(13.4180),0.8984375,115
1,100,tensor(12.6857),0.90625,120
2,10,tensor(22.1230),0.3828125,52
2,25,tensor(13.8812),0.828125,109
2,40,tensor(15.7593),0.8359375,112
2,55,tensor(13.0771),0.8828125,116
2,70,tensor(13.3940),0.8671875,115
2,85,tensor(11.2478),0.9296875,119
2,100,tensor(10.6606),0.9453125,120
3,10,tensor(30.0193),0.359375,46
3,25,tensor(30.2759),0.7421875,98
3,40,tensor(13.8688),0.9453125,117
3,55,tensor(19.0213),0.890625,116
3,70,tensor(12.5968),0.859375,108
3,85,tensor(14.1292),0.921875,114
3,100,tensor(19.7613),0.8984375,114
4,10,tensor(24.9137),0.28125,34
4,25,tensor(14.1697),0.828125,105
4,40,tensor(13.4613),0.8984375,115
4,55,tensor(12.8880),0.890625,114
4,70,tensor(14.8567),0.8984375,119
4,85,tensor(14.6581),0.8984375,117
4,100,tensor(16.9350),0.890625,114
5,10,tensor(23.6606),0.3828125,50
5,25,tensor(18.4100),0.6796875,92
5,40,tensor(12.9812),0.875,112
5,55,tensor(9.1598),0.9140625,117
5,70,tensor(10.4072),0.9375,119
5,85,tensor(10.7125),0.8984375,118
5,100,tensor(14.3395),0.921875,117
6,10,tensor(37.8747),0.34375,45
6,25,tensor(14.8900),0.765625,103
6,40,tensor(14.9050),0.8515625,112
6,55,tensor(12.4130),0.90625,111
6,70,tensor(12.8725),0.9296875,116
6,85,tensor(17.6654),0.90625,116
6,100,tensor(14.0502),0.9140625,116
7,10,tensor(19.4810),0.375,47
7,25,tensor(23.6114),0.75,102
7,40,tensor(15.6788),0.84375,113
7,55,tensor(12.6121),0.859375,112
7,70,tensor(14.0297),0.890625,118
7,85,tensor(13.3897),0.8984375,114
7,100,tensor(11.4921),0.90625,116
8,10,tensor(17.9930),0.3515625,44
8,25,tensor(14.2434),0.84375,111
8,40,tensor(15.2049),0.9140625,118
8,55,tensor(12.2338),0.8984375,118
8,70,tensor(10.2135),0.890625,115
8,85,tensor(15.3209),0.921875,116
8,100,tensor(13.7785),0.9140625,117
9,10,tensor(23.1163),0.3046875,48
9,25,tensor(13.0392),0.75,99
9,40,tensor(17.0803),0.875,113
9,55,tensor(19.5387),0.8828125,112
9,70,tensor(14.0591),0.890625,118
9,85,tensor(18.9430),0.9140625,118
9,100,tensor(12.6031),0.8828125,120
10,10,tensor(37.4229),0.3515625,50
10,25,tensor(30.1208),0.7109375,97
10,40,tensor(21.6485),0.859375,111
10,55,tensor(13.9529),0.8984375,115
10,70,tensor(13.1961),0.921875,124
10,85,tensor(13.5217),0.875,114
10,100,tensor(16.7626),0.890625,113
11,10,tensor(24.2514),0.3046875,42
11,25,tensor(13.7381),0.8984375,115
11,40,tensor(17.8790),0.8828125,114
11,55,tensor(12.3614),0.9140625,115
11,70,tensor(11.7303),0.90625,116
11,85,tensor(9.1491),0.9609375,119
11,100,tensor(15.6132),0.8828125,118
12,10,tensor(17.9323),0.4140625,45
12,25,tensor(14.9319),0.7578125,97
12,40,tensor(14.1927),0.84375,109
12,55,tensor(12.3133),0.921875,118
12,70,tensor(14.7251),0.90625,117
12,85,tensor(15.1691),0.890625,116
12,100,tensor(14.0185),0.8828125,110
13,10,tensor(28.2629),0.3671875,50
13,25,tensor(20.0936),0.8203125,105
13,40,tensor(12.2750),0.875,115
13,55,tensor(16.2599),0.8515625,111
13,70,tensor(11.6123),0.8671875,114
13,85,tensor(9.7661),0.90625,119
13,100,tensor(9.4428),0.9453125,121
13,70,tensor(11.6123),0.8671875,114
14,10,tensor(29.5313),0.3828125,47
14,25,tensor(14.0408),0.75,98
14,40,tensor(14.8877),0.8984375,121
14,55,tensor(11.0712),0.90625,118
14,70,tensor(10.6500),0.8984375,120
14,85,tensor(13.8200),0.90625,115
14,100,tensor(12.2019),0.9140625,121
15,10,tensor(23.9412),0.4296875,53
15,25,tensor(12.1118),0.84375,111
15,40,tensor(13.7452),0.875,114
15,55,tensor(9.1018),0.890625,114
15,70,tensor(12.0489),0.859375,110
15,85,tensor(12.6005),0.890625,118
15,100,tensor(9.0879),0.9453125,119
16,10,tensor(27.4180),0.421875,50
16,25,tensor(21.1301),0.8125,108
16,40,tensor(10.9765),0.9140625,118
16,55,tensor(18.7365),0.8984375,113
16,70,tensor(19.0130),0.8671875,110
16,85,tensor(14.0117),0.890625,117
16,100,tensor(19.9526),0.859375,112
17,10,tensor(28.2237),0.3046875,34
17,25,tensor(15.6267),0.8046875,107
17,40,tensor(18.4720),0.8984375,116
17,55,tensor(13.2487),0.9296875,119
17,70,tensor(10.2507),0.9453125,120
17,85,tensor(13.7233),0.8828125,111
17,100,tensor(13.8692),0.90625,118
18,10,tensor(29.2215),0.3515625,43
18,25,tensor(16.5611),0.84375,108
18,40,tensor(21.8444),0.84375,111
18,55,tensor(18.4907),0.890625,113
