exp_name,num_steps,distortion,eta,omega,validity_mean,validity_std,vun_mean,vun_std,mmd_mean,mmd_std,mae_mean,time,samples_to_generate,condition_value
qm9_with_h_conditional.ckpt,10,polydec,0.0,0.0,36.328125,0.0,,,0.3755551042276657,0.0,11.067474,"(9.381557703018188, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,0.0,0.2,41.162109375,0.0,,,0.35469609816134917,0.0,37.30788,"(9.382419109344482, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,0.0,0.4,46.337890625,0.0,,,0.37481808071770123,0.0,10.57402,"(9.378483057022095, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,0.0,0.6000000000000001,44.62890625,0.0,,,0.35867125372081654,0.0,19.25518,"(9.375991582870483, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,0.0,0.8,49.90234375,0.0,,,0.3502639796804735,0.0,27.929337,"(9.381314754486084, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,0.0,1.0,49.560546875,0.0,,,0.35219445372396396,0.0,34.960682,"(9.386117458343506, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,25.0,0.0,13.427734375,0.0,,,0.28375870984661344,0.0,43.627625,"(9.379890441894531, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,25.0,0.2,14.453125,0.0,,,0.281615482835203,0.0,56.879303,"(9.38104510307312, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,25.0,0.4,14.208984375,0.0,,,0.28339282680089384,0.0,19.697601,"(9.376869678497314, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,25.0,0.6000000000000001,14.35546875,0.0,,,0.28346897021631756,0.0,39.956493,"(9.379849433898926, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,25.0,0.8,14.84375,0.0,,,0.2802328683236154,0.0,0.0,"(9.380039691925049, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,25.0,1.0,15.478515625,0.0,,,0.28448457443915154,0.0,4.676361,"(9.378324747085571, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,50.0,0.0,9.228515625,0.0,,,0.2728058415223934,0.0,0.0,"(9.38438081741333, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,50.0,0.2,10.009765625,0.0,,,0.2729019251272512,0.0,0.0,"(9.378150701522827, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,50.0,0.4,10.546875,0.0,,,0.2736323667792584,0.0,0.0,"(9.37875485420227, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,50.0,0.6000000000000001,10.25390625,0.0,,,0.26797462115063697,0.0,0.0,"(9.381246328353882, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,50.0,0.8,11.23046875,0.0,,,0.27241139619208266,0.0,0.0,"(9.385392427444458, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,50.0,1.0,10.3515625,0.0,,,0.27454628796707725,0.0,0.0,"(9.385837316513062, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,100.0,0.0,7.861328125,0.0,,,0.2673982463596355,0.0,4.4730835,"(9.385856866836548, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,100.0,0.2,8.3984375,0.0,,,0.2676749899729364,0.0,75.32669,"(9.387404441833496, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,100.0,0.4,7.8125,0.0,,,0.26558539533895303,0.0,4.4730835,"(9.38572359085083, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,100.0,0.6000000000000001,7.71484375,0.0,,,0.2667959824071119,0.0,67.56729,"(9.384806394577026, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,100.0,0.8,7.177734375,0.0,,,0.26677966614619497,0.0,82.29556,"(9.388030767440796, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,100.0,1.0,8.10546875,0.0,,,0.2687099300245286,0.0,82.29556,"(9.382380247116089, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,150.0,0.0,5.95703125,0.0,,,0.2619952295952676,0.0,0.0,"(9.384458780288696, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,150.0,0.2,6.103515625,0.0,,,0.2611818883637528,0.0,0.0,"(9.386275053024292, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,150.0,0.4,5.615234375,0.0,,,0.26256627102096325,0.0,0.0,"(9.38048791885376, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,150.0,0.6000000000000001,5.46875,0.0,,,0.259867900429659,0.0,0.0,"(9.376709222793579, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,150.0,0.8,5.126953125,0.0,,,0.2615481174283442,0.0,0.0,"(9.4027841091156, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,150.0,1.0,5.95703125,0.0,,,0.26139199933274215,0.0,0.0,"(9.376230239868164, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,200.0,0.0,4.58984375,0.0,,,0.26088225495869655,0.0,0.0,"(9.379949569702148, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,200.0,0.2,4.345703125,0.0,,,0.2604584470783941,0.0,0.0,"(9.379586458206177, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,200.0,0.4,4.4921875,0.0,,,0.2603397332172191,0.0,0.0,"(9.380410194396973, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,200.0,0.6000000000000001,4.78515625,0.0,,,0.26006422501361065,0.0,0.0,"(9.385467529296875, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,200.0,0.8,4.98046875,0.0,,,0.26054048414870745,0.0,0.0,"(9.380632400512695, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,200.0,1.0,4.39453125,0.0,,,0.26328542770865726,0.0,0.0,"(9.390658140182495, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,250.0,0.0,4.00390625,0.0,,,0.2670348447275328,0.0,0.0,"(9.382851123809814, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,250.0,0.2,3.61328125,0.0,,,0.26491231436688806,0.0,0.0,"(9.387962818145752, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,250.0,0.4,3.955078125,0.0,,,0.2637404510815755,0.0,0.0,"(9.376178503036499, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,250.0,0.6000000000000001,4.296875,0.0,,,0.26272842235086924,0.0,0.0,"(9.386548042297363, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,250.0,0.8,4.052734375,0.0,,,0.2610218106364761,0.0,0.0,"(9.381673336029053, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,10,polydec,250.0,1.0,3.80859375,0.0,,,0.2613239177150015,0.0,0.0,"(9.391457080841064, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,0.0,0.0,72.16796875,0.0,,,0.35221323318202724,0.0,13.663777,"(18.73781394958496, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,0.0,0.2,76.611328125,0.0,,,0.36805258629366605,0.0,2.0292206,"(18.72775411605835, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,0.0,0.4,77.978515625,0.0,,,0.37422253945621065,0.0,6.694206,"(18.728488206863403, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,0.0,0.6000000000000001,79.150390625,0.0,,,0.3832395005361831,0.0,13.705802,"(18.731203317642212, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,0.0,0.8,79.1015625,0.0,,,0.3648143315473955,0.0,4.9686227,"(18.724969148635864, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,0.0,1.0,80.17578125,0.0,,,0.35725201275166274,0.0,10.892894,"(43.06591272354126, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,25.0,0.0,54.1015625,0.0,,,0.40271581564076653,0.0,27.720543,"(43.07920718193054, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,25.0,0.2,57.373046875,0.0,,,0.3860982868636233,0.0,9.991597,"(43.19035053253174, 0.0)",2048,-400
qm9_with_h_conditional.ckpt,20,polydec,25.0,0.4,57.177734375,0.0,,,0.3880057175544464,0.0,24.822075,"(43.06461429595947, 0.0)",2048,-400
