fold,steps,mae_no_exit,validity_no_exit,execution_time_sec
0,10,,1.0,0.717073917388916
0,25,,1.0,0.6570088863372803
0,40,,1.0,0.9549293518066406
0,55,,1.0,1.4262135028839111
0,70,,1.0,1.650740385055542
0,85,,1.0,1.9901134967803955
0,100,,1.0,2.310661792755127
1,10,,1.0,0.5260016918182373
1,25,,1.0,0.6303501129150391
1,40,,1.0,0.9706978797912598
1,55,,1.0,2.5258400440216064
1,70,,1.0,1.6431074142456055
1,85,,1.0,1.9839622974395752
1,100,,1.0,2.3104591369628906
2,10,,1.0,0.5217437744140625
2,25,,1.0,0.6308939456939697
2,40,,1.0,1.1078107357025146
2,55,,1.0,1.3199427127838135
2,70,,1.0,1.6658501625061035
2,85,,1.0,1.9664866924285889
2,100,,1.0,2.3151745796203613
3,10,,1.0,0.30085277557373047
3,25,,1.0,1.2045340538024902
3,40,,1.0,0.9632000923156738
3,55,,1.0,1.3062388896942139
3,70,,1.0,3.214050769805908
3,85,,1.0,1.9844105243682861
3,100,,1.0,2.277334690093994
4,10,,1.0,0.3002307415008545
4,25,,1.0,0.6261916160583496
4,40,,1.0,1.084364891052246
4,55,,1.0,1.3035333156585693
4,70,,1.0,1.6619319915771484
4,85,,1.0,1.9958748817443848
4,100,,1.0,2.3179898262023926
5,10,,1.0,0.5248928070068359
5,25,,1.0,0.6281425952911377
5,40,,1.0,0.9567587375640869
5,55,,1.0,1.3115644454956055
5,70,,1.0,1.6270265579223633
5,85,,1.0,1.9838666915893555
5,100,,1.0,2.2889628410339355
6,10,,1.0,0.2977869510650635
6,25,,1.0,0.6306273937225342
6,40,,1.0,1.097637414932251
6,55,,1.0,1.3072700500488281
6,70,,1.0,1.6493072509765625
6,85,,1.0,1.974445104598999
6,100,,1.0,2.3112332820892334
7,10,,1.0,1.1922297477722168
7,25,,1.0,1.1801948547363281
7,40,,1.0,0.9721453189849854
7,55,,1.0,1.306572675704956
7,70,,1.0,1.6412928104400635
7,85,,1.0,3.8520336151123047
7,100,,1.0,2.307274103164673
8,10,,1.0,0.9656071662902832
8,25,,1.0,0.6230647563934326
8,40,,1.0,2.8721909523010254
8,55,,1.0,1.305971622467041
8,70,,1.0,1.636962652206421
8,85,,1.0,5.752070188522339
8,100,,1.0,4.547596216201782
9,10,,1.0,0.2963688373565674
9,25,,1.0,0.6296286582946777
9,40,,1.0,0.9690015316009521
9,55,,1.0,1.3063569068908691
9,70,,1.0,3.162541151046753
9,85,,1.0,1.9451584815979004
9,100,,1.0,2.321661949157715
10,10,,1.0,1.2094252109527588
10,25,,1.0,0.6380901336669922
10,40,,1.0,1.0867094993591309
10,55,,1.0,2.53489351272583
10,70,,1.0,1.6476225852966309
10,85,,1.0,1.9900658130645752
10,100,,1.0,4.5578930377960205
11,10,,1.0,0.5242164134979248
11,25,,1.0,0.6271436214447021
11,40,,1.0,1.8589413166046143
11,55,,1.0,1.295435905456543
11,70,,1.0,1.6525650024414062
11,85,,1.0,1.9509775638580322
11,100,,1.0,2.3245158195495605
12,10,,1.0,0.30199313163757324
12,25,,1.0,0.6343915462493896
12,40,,1.0,1.094717025756836
12,55,,1.0,1.2969810962677002
12,70,,1.0,1.6455535888671875
12,85,,1.0,1.984175682067871
12,100,,1.0,2.311880588531494
13,10,,1.0,0.9739334583282471
13,25,,1.0,0.6363403797149658
13,40,,1.0,0.9581451416015625
13,55,,1.0,1.2850515842437744
13,70,,1.0,1.637430191040039
13,85,,1.0,1.9771502017974854
13,100,,1.0,2.3113362789154053
14,10,,1.0,0.2972707748413086
14,25,,1.0,0.635211706161499
14,40,,1.0,1.0989429950714111
14,55,,1.0,1.3111906051635742
14,70,,1.0,1.6466553211212158
14,85,,1.0,1.9564554691314697
14,100,,1.0,2.3252060413360596
15,10,,1.0,0.2979302406311035
15,25,,1.0,1.1922821998596191
15,40,,1.0,1.8547279834747314
15,55,,1.0,2.5354034900665283
15,70,,1.0,3.1868438720703125
15,85,,1.0,1.960899829864502
15,100,,1.0,2.3129870891571045
16,10,,1.0,0.3003268241882324
16,25,,1.0,0.6354291439056396
16,40,,1.0,1.0810792446136475
16,55,,1.0,1.3091137409210205
16,70,,1.0,1.647667646408081
16,85,,1.0,1.985344409942627
16,100,,1.0,4.545668125152588
17,10,,1.0,1.1951708793640137
17,25,,1.0,0.6319468021392822
17,40,,1.0,0.9675569534301758
17,55,,1.0,1.3008999824523926
17,70,,1.0,1.6226577758789062
17,85,,1.0,3.8678395748138428
