fold,steps,mae_no_exit,validity_no_exit,execution_time_sec,mae_early_exit,validity_early_exit
0,10,,1.0,2.3126702308654785,,
0,25,,1.0,0.773695707321167,,
0,40,,1.0,2.235247135162353,,
0,55,,1.0,1.751392126083374,,
0,70,,1.0,1.9606683254241943,,
0,85,,1.0,2.3421905040740967,,
0,100,,1.0,2.771217107772827,,
1,10,,1.0,0.3498563766479492,,
1,25,,1.0,1.4268372058868408,,
1,40,,1.0,1.1382591724395752,,
1,55,,1.0,1.5601868629455566,,
1,70,,1.0,1.9748528003692627,,
1,85,,1.0,2.391780376434326,,
1,100,,1.0,2.796661615371704,,
2,10,,1.0,0.3531494140625,,
2,25,,1.0,0.7540469169616699,,
2,40,,1.0,1.3498632907867432,,
2,55,,1.0,1.5458056926727295,,
2,70,,1.0,1.9658265113830569,,
2,85,,1.0,2.31610107421875,,
2,100,,1.0,2.7467129230499268,,
3,10,,1.0,1.414437770843506,,
3,25,,1.0,1.417173147201538,,
3,40,,1.0,1.1370913982391355,,
3,55,,1.0,1.551191806793213,,
3,70,,1.0,1.921359062194824,,
3,85,,1.0,2.3364717960357666,,
3,100,,1.0,2.74363374710083,,
4,10,,1.0,0.3458831310272217,,
4,25,,1.0,2.05810284614563,,
4,40,,1.0,2.399632453918457,,
4,55,,1.0,3.000149726867676,,
4,70,,1.0,1.9454808235168457,,
4,85,,1.0,2.324568033218384,,
4,100,,1.0,2.754583835601806,,
5,10,,1.0,0.347733736038208,,
5,25,,1.0,0.7387590408325195,,
5,40,,1.0,1.1439859867095947,,
5,55,,1.0,4.474372386932373,,
5,70,,1.0,1.9453716278076167,,
5,85,,1.0,2.3469200134277344,,
5,100,,1.0,2.7373406887054443,,
6,10,,1.0,2.2199323177337646,,
6,25,,1.0,1.4106996059417725,,
6,40,,1.0,1.3267838954925537,,
6,55,,1.0,1.5561342239379885,,
6,70,,1.0,1.954553842544556,,
6,85,,1.0,4.605340003967285,,
6,100,,1.0,2.740158796310425,,
7,10,,1.0,1.946276426315308,,
7,25,,1.0,0.7373592853546143,,
7,40,,1.0,1.1308424472808838,,
7,55,,1.0,1.5220823287963867,,
7,70,,1.0,1.923762559890747,,
7,85,,1.0,2.340575933456421,,
7,100,,1.0,2.7472288608551025,,
8,10,,1.0,1.950566291809082,,
8,25,,1.0,0.7450582981109619,,
8,40,,1.0,1.3267145156860352,,
8,55,,1.0,1.543764352798462,,
8,70,,1.0,1.939795017242432,,
8,85,,1.0,6.875915765762329,,
8,100,,1.0,2.7151331901550293,,
9,10,,1.0,3.814341545104981,,
9,25,,1.0,0.7475759983062744,,
9,40,,1.0,2.195727586746216,,
9,55,,1.0,1.542966604232788,,
9,70,,1.0,1.9285807609558103,,
9,85,,1.0,2.3384876251220703,,
9,100,,1.0,2.738839864730835,,
10,10,,1.0,0.6120069026947021,,
10,25,,1.0,0.7434883117675781,,
10,40,,1.0,1.3254084587097168,,
10,55,,1.0,1.546565055847168,,
